query_id,assessment_id,assessment_url,semantic_score,bm25_score,hybrid_score,query_length,query_word_count,assessment_name_length,query_assessment_name_overlap,query_description_overlap,query_duration_minutes,assessment_duration_minutes,duration_match_score,duration_within_budget,test_type_match_count,test_type_match_ratio,has_knowledge_test,has_personality_test,has_behavioral_test,has_cognitive_test,has_situational_test,technical_skill_overlap,soft_skill_overlap,domain_skill_overlap,total_skill_overlap,skill_coverage_ratio,level_match,role_category_match,assessment_skill_count,assessment_tag_count,assessment_has_remote,assessment_has_adaptive,gemini_score,gemini_confidence,gemini_rank,label
Based on the JD below recommend me assessment for ,101,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,0.5,5.0,0.5,3827,498,34,0.009900990099009901,0.09900990099009901,90.0,42.0,0.4666666666666667,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,4,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,96,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,0.5,5.0,0.5,3827,498,27,0.006600660066006601,0.07920792079207921,90.0,47.0,0.5222222222222221,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,3,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,63,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,0.5,5.0,0.5,3827,498,48,0.006600660066006601,0.07590759075907591,90.0,49.0,0.5444444444444445,1,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,2,1,1,0,0.1,0.55,9,0
Based on the JD below recommend me assessment for ,1,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,0.5,5.0,0.5,3827,498,40,0.0033003300330033004,0.04950495049504951,90.0,36.0,0.4,1,0,0.0,1,1,0,0,0,0,0,0,0,0.0,0,0,3,0,1,1,0.0,0.5,50,1
Based on the JD below recommend me assessment for ,94,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,0.5,5.0,0.5,3827,498,31,0.006600660066006601,0.0627062706270627,90.0,21.0,0.23333333333333328,1,0,0.0,0,0,1,1,0,0,0,0,0,0.0,0,0,3,2,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,62,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,0.5,5.0,0.5,3827,498,50,0.006600660066006601,0.07590759075907591,90.0,49.0,0.5444444444444445,1,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,2,1,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,59,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,0.5,5.0,0.5,3827,498,50,0.006600660066006601,0.0627062706270627,90.0,49.0,0.5444444444444445,1,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,2,3,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,95,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,0.5,5.0,0.5,3827,498,33,0.006600660066006601,0.0627062706270627,90.0,21.0,0.23333333333333328,1,0,0.0,0,0,1,1,0,0,0,0,0,0.0,0,0,2,0,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,82,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,0.5,5.0,0.5,3827,498,48,0.0,0.0627062706270627,90.0,44.0,0.48888888888888893,1,0,0.0,0,1,1,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0.14285714285714285,0.7,6,0
Based on the JD below recommend me assessment for ,35,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,0.5,5.0,0.5,3827,498,35,0.0033003300330033004,0.026402640264026403,90.0,35.0,0.38888888888888884,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,4,0,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,5,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,0.5,5.0,0.5,3827,498,42,0.0,0.0627062706270627,90.0,35.0,0.38888888888888884,1,0,0.0,1,1,1,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,116,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,0.5,5.0,0.5,3827,498,34,0.006600660066006601,0.08250825082508251,90.0,41.0,0.4555555555555556,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,2,1,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,92,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,0.5,5.0,0.5,3827,498,23,0.0033003300330033004,0.0924092409240924,90.0,61.0,0.6777777777777778,1,0,0.0,1,1,1,0,1,0,1,0,1,0.14285714285714285,0,0,3,3,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,100,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,0.5,5.0,0.5,3827,498,31,0.0033003300330033004,0.10231023102310231,90.0,44.0,0.48888888888888893,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,2,0,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,18,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,0.5,5.0,0.5,3827,498,43,0.0033003300330033004,0.07590759075907591,90.0,45.0,0.5,1,0,0.0,0,1,1,0,1,0,0,0,0,0.0,0,0,5,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,76,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,0.5,5.0,0.5,3827,498,27,0.0033003300330033004,0.052805280528052806,90.0,51.0,0.5666666666666667,1,0,0.0,0,0,1,1,0,0,0,0,0,0.0,0,0,1,2,1,1,0.2,0.8,4,0
Based on the JD below recommend me assessment for ,354,https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/,0.5,5.0,0.5,3827,498,19,0.0033003300330033004,0.0891089108910891,90.0,,0.5,0,0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,2,2,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,46,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,0.5,5.0,0.5,3827,498,35,0.009900990099009901,0.0594059405940594,90.0,20.0,0.2222222222222222,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,44,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,0.5,5.0,0.5,3827,498,37,0.009900990099009901,0.066006600660066,90.0,30.0,0.33333333333333337,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,1,1,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,118,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,0.5,5.0,0.5,3827,498,50,0.009900990099009901,0.039603960396039604,90.0,16.0,0.1777777777777778,1,0,0.0,0,1,0,1,0,0,0,0,0,0.0,0,0,1,0,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,66,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,0.5,5.0,0.5,3827,498,43,0.0,0.0627062706270627,90.0,24.0,0.2666666666666667,1,0,0.0,0,1,1,0,1,0,0,0,0,0.0,0,0,1,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,0,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,0.5,5.0,0.5,3827,498,24,0.0,0.0858085808580858,90.0,49.0,0.5444444444444445,1,0,0.0,0,1,1,1,0,0,0,0,0,0.0,0,0,3,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,77,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,0.5,5.0,0.5,3827,498,29,0.0033003300330033004,0.052805280528052806,90.0,56.0,0.6222222222222222,1,0,0.0,0,1,1,1,0,0,0,0,0,0.0,0,0,0,1,1,1,0.3333333333333333,0.9,2,0
Based on the JD below recommend me assessment for ,78,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,0.5,5.0,0.5,3827,498,34,0.0033003300330033004,0.052805280528052806,90.0,56.0,0.6222222222222222,1,0,0.0,0,1,1,1,0,0,0,0,0,0.0,0,0,0,1,1,1,0.25,0.85,3,1
Based on the JD below recommend me assessment for ,16,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,0.5,5.0,0.5,3827,498,36,0.0033003300330033004,0.066006600660066,90.0,41.0,0.4555555555555556,1,0,0.0,0,1,1,1,1,0,0,0,0,0.0,0,0,3,1,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,99,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,0.5,5.0,0.5,3827,498,33,0.0033003300330033004,0.07920792079207921,90.0,43.0,0.47777777777777775,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,3,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,98,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,0.5,5.0,0.5,3827,498,25,0.0033003300330033004,0.09900990099009901,90.0,38.0,0.4222222222222223,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,5,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,88,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,0.5,5.0,0.5,3827,498,26,0.0033003300330033004,0.07920792079207921,90.0,45.0,0.5,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,3,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,81,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,0.5,5.0,0.5,3827,498,20,0.0033003300330033004,0.033003300330033,90.0,16.0,0.1777777777777778,1,0,0.0,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.5,0.95,1,0
Based on the JD below recommend me assessment for ,22,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,0.5,5.0,0.5,3827,498,40,0.006600660066006601,0.07920792079207921,90.0,44.0,0.48888888888888893,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,3,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,481,https://www.shl.com/solutions/products/product-catalog/view/verify-technical-checking-next-generation/,0.5,5.0,0.5,3827,498,45,0.0033003300330033004,0.07260726072607261,90.0,5.0,0.05555555555555558,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,2,1,0,0.16666666666666666,0.75,5,0
Based on the JD below recommend me assessment for ,79,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,0.5,5.0,0.5,3827,498,25,0.0033003300330033004,0.036303630363036306,90.0,33.0,0.3666666666666667,1,0,0.0,0,0,1,1,0,0,0,0,0,0.0,0,0,1,2,1,0,0.1111111111111111,0.6,8,0
Based on the JD below recommend me assessment for ,36,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,0.5,5.0,0.5,3827,498,42,0.0033003300330033004,0.11221122112211221,90.0,44.0,0.48888888888888893,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,3,0,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,7,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,0.5,5.0,0.5,3827,498,39,0.0,0.07920792079207921,90.0,45.0,0.5,1,0,0.0,0,1,1,0,1,0,0,0,0,0.0,0,0,6,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,90,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,0.5,5.0,0.5,3827,498,31,0.0033003300330033004,0.06930693069306931,90.0,29.0,0.3222222222222222,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,2,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,362,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,0.5,5.0,0.5,3827,498,43,0.009900990099009901,0.04950495049504951,90.0,,0.5,0,0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,2,1,1,0,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,93,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,0.5,5.0,0.5,3827,498,22,0.0033003300330033004,0.09900990099009901,90.0,63.0,0.7,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,5,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,8,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,0.5,5.0,0.5,3827,498,44,0.0,0.0594059405940594,90.0,43.0,0.47777777777777775,1,0,0.0,0,1,1,0,1,0,0,0,0,0.0,0,0,3,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,80,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,0.5,5.0,0.5,3827,498,32,0.0033003300330033004,0.036303630363036306,90.0,33.0,0.3666666666666667,1,0,0.0,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0.125,0.6499999999999999,7,0
Based on the JD below recommend me assessment for ,97,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,0.5,5.0,0.5,3827,498,29,0.0033003300330033004,0.06930693069306931,90.0,29.0,0.3222222222222222,1,0,0.0,0,1,1,0,0,0,0,0,0,0.0,0,0,2,0,1,1,0.0,0.5,50,0
Based on the JD below recommend me assessment for ,361,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,0.5,5.0,0.5,3827,498,42,0.006600660066006601,0.04950495049504951,90.0,,0.5,0,0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,2,1,1,0,0.0,0.5,50,0
